Notes,County,County Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
,"Dale County, AL",1045,All other non-drug and non-alcohol causes,O,549,49226,1115.264
,"Dallas County, AL",1047,Drug-induced causes,D,34,40008,84.983
,"Dallas County, AL",1047,All other non-drug and non-alcohol causes,O,571,40008,1427.215
,"DeKalb County, AL",1049,Drug-induced causes,D,75,70900,105.783
,"DeKalb County, AL",1049,Alcohol-induced causes,A,10,70900,Unreliable
,"DeKalb County, AL",1049,All other non-drug and non-alcohol causes,O,789,70900,1112.835
,"Elmore County, AL",1051,Drug-induced causes,D,83,81799,101.468
,"Elmore County, AL",1051,Alcohol-induced causes,A,12,81799,Unreliable
,"Elmore County, AL",1051,All other non-drug and non-alcohol causes,O,796,81799,973.117
,"Escambia County, AL",1053,Drug-induced causes,D,115,37728,304.813
,"Escambia County, AL",1053,Alcohol-induced causes,A,19,37728,Unreliable
,"Escambia County, AL",1053,All other non-drug and non-alcohol causes,O,519,37728,1375.636
,"Etowah County, AL",1055,Drug-induced causes,D,151,102564,147.225
,"Etowah County, AL",1055,Alcohol-induced causes,A,10,102564,Unreliable
,"Etowah County, AL",1055,All other non-drug and non-alcohol causes,O,1385,102564,1350.376
,"Fayette County, AL",1057,Drug-induced causes,D,32,16546,193.4
,"Fayette County, AL",1057,All other non-drug and non-alcohol causes,O,247,16546,1492.808
,"Franklin County, AL",1059,Drug-induced causes,D,28,31628,88.529
,"Franklin County, AL",1059,All other non-drug and non-alcohol causes,O,374,31628,1182.497
,"Geneva County, AL",1061,Drug-induced causes,D,51,26614,191.628
,"Geneva County, AL",1061,All other non-drug and non-alcohol causes,O,377,26614,1416.548
,"Greene County, AL",1063,All other non-drug and non-alcohol causes,O,104,8422,1234.861
,"Hale County, AL",1065,All other non-drug and non-alcohol causes,O,189,14952,1264.045
,"Henry County, AL",1067,Drug-induced causes,D,24,17164,139.828
,"Henry County, AL",1067,All other non-drug and non-alcohol causes,O,215,17164,1252.622
,"Houston County, AL",1069,Drug-induced causes,D,98,104056,94.18
,"Houston County, AL",1069,Alcohol-induced causes,A,14,104056,Unreliable
,"Houston County, AL",1069,All other non-drug and non-alcohol causes,O,1110,104056,1066.733
,"Jackson County, AL",1071,Drug-induced causes,D,54,52138,103.571
,"Jackson County, AL",1071,All other non-drug and non-alcohol causes,O,736,52138,1411.638
,"Jefferson County, AL",1073,Drug-induced causes,D,656,659521,99.466
,"Jefferson County, AL",1073,Alcohol-induced causes,A,139,659521,21.076
,"Jefferson County, AL",1073,All other non-drug and non-alcohol causes,O,7063,659521,1070.929
,"Lamar County, AL",1075,Drug-induced causes,D,16,13918,Unreliable
,"Lamar County, AL",1075,All other non-drug and non-alcohol causes,O,205,13918,1472.913
,"Lauderdale County, AL",1077,Drug-induced causes,D,125,92318,135.402
,"Lauderdale County, AL",1077,Alcohol-induced causes,A,17,92318,Unreliable
,"Lauderdale County, AL",1077,All other non-drug and non-alcohol causes,O,1156,92318,1252.194
,"Lawrence County, AL",1079,Drug-induced causes,D,31,33244,93.25
,"Lawrence County, AL",1079,All other non-drug and non-alcohol causes,O,400,33244,1203.225
,"Lee County, AL",1081,Drug-induced causes,D,131,158991,82.395
,"Lee County, AL",1081,Alcohol-induced causes,A,19,158991,Unreliable
,"Lee County, AL",1081,All other non-drug and non-alcohol causes,O,1006,158991,632.74
,"Limestone County, AL",1083,Drug-induced causes,D,74,92753,79.782
,"Limestone County, AL",1083,All other non-drug and non-alcohol causes,O,726,92753,782.724
,"Lowndes County, AL",1085,All other non-drug and non-alcohol causes,O,148,10358,1428.847
,"Macon County, AL",1087,Drug-induced causes,D,15,18963,Unreliable
,"Macon County, AL",1087,All other non-drug and non-alcohol causes,O,259,18963,1365.818
,"Madison County, AL",1089,Drug-induced causes,D,262,356967,73.396
,"Madison County, AL",1089,Alcohol-induced causes,A,35,356967,9.805
,"Madison County, AL",1089,All other non-drug and non-alcohol causes,O,3279,356967,918.572
,"Marengo County, AL",1091,Drug-induced causes,D,23,19673,116.912
,"Marengo County, AL",1091,All other non-drug and non-alcohol causes,O,270,19673,1372.439
,"Marion County, AL",1093,Drug-induced causes,D,19,29998,Unreliable
,"Marion County, AL",1093,All other non-drug and non-alcohol causes,O,388,29998,1293.42
,"Marshall County, AL",1095,Drug-induced causes,D,91,95157,95.631
,"Marshall County, AL",1095,Alcohol-induced causes,A,14,95157,Unreliable
,"Marshall County, AL",1095,All other non-drug and non-alcohol causes,O,1185,95157,1245.31
,"Mobile County, AL",1097,Drug-induced causes,D,396,414836,95.459
,"Mobile County, AL",1097,Alcohol-induced causes,A,61,414836,14.705
,"Mobile County, AL",1097,All other non-drug and non-alcohol causes,O,4394,414836,1059.214
,"Monroe County, AL",1099,Drug-induced causes,D,16,21530,Unreliable
,"Monroe County, AL",1099,All other non-drug and non-alcohol causes,O,235,21530,1091.5
,"Montgomery County, AL",1101,Drug-induced causes,D,139,226349,61.41
,"Montgomery County, AL",1101,Alcohol-induced causes,A,30,226349,13.254
,"Montgomery County, AL",1101,All other non-drug and non-alcohol causes,O,2149,226349,949.419
,"Morgan County, AL",1103,Drug-induced causes,D,128,119012,107.552
,"Morgan County, AL",1103,Alcohol-induced causes,A,13,119012,Unreliable
,"Morgan County, AL",1103,All other non-drug and non-alcohol causes,O,1316,119012,1105.771
,"Perry County, AL",1105,All other non-drug and non-alcohol causes,O,128,9574,1336.954
,"Pickens County, AL",1107,Drug-induced causes,D,17,20324,Unreliable
,"Pickens County, AL",1107,All other non-drug and non-alcohol causes,O,249,20324,1225.153
,"Pike County, AL",1109,Drug-induced causes,D,28,33286,84.119
,"Pike County, AL",1109,All other non-drug and non-alcohol causes,O,300,33286,901.28
,"Randolph County, AL",1111,Drug-induced causes,D,22,22652,97.122
,"Randolph County, AL",1111,All other non-drug and non-alcohol causes,O,294,22652,1297.899
,"Russell County, AL",1113,Drug-induced causes,D,84,58172,144.399
,"Russell County, AL",1113,All other non-drug and non-alcohol causes,O,657,58172,1129.409
,"St. Clair County, AL",1115,Drug-induced causes,D,89,88019,101.115
,"St. Clair County, AL",1115,Alcohol-induced causes,A,17,88019,Unreliable
,"St. Clair County, AL",1115,All other non-drug and non-alcohol causes,O,973,88019,1105.443
,"Shelby County, AL",1117,Drug-induced causes,D,132,210622,62.672
,"Shelby County, AL",1117,Alcohol-induced causes,A,22,210622,10.445
,"Shelby County, AL",1117,All other non-drug and non-alcohol causes,O,1486,210622,705.529
,"Sumter County, AL",1119,All other non-drug and non-alcohol causes,O,164,13040,1257.669
,"Talladega County, AL",1121,Drug-induced causes,D,54,80103,67.413
,"Talladega County, AL",1121,All other non-drug and non-alcohol causes,O,1017,80103,1269.615
,"Tallapoosa County, AL",1123,Drug-induced causes,D,56,40727,137.501
,"Tallapoosa County, AL",1123,All other non-drug and non-alcohol causes,O,588,40727,1443.76
,"Tuscaloosa County, AL",1125,Drug-induced causes,D,182,206102,88.306
,"Tuscaloosa County, AL",1125,Alcohol-induced causes,A,20,206102,9.704
,"Tuscaloosa County, AL",1125,All other non-drug and non-alcohol causes,O,1756,206102,852.005
,"Walker County, AL",1127,Drug-induced causes,D,75,64967,115.443
,"Walker County, AL",1127,All other non-drug and non-alcohol causes,O,1012,64967,1557.714
,"Washington County, AL",1129,Drug-induced causes,D,25,16756,149.2
,"Washington County, AL",1129,All other non-drug and non-alcohol causes,O,212,16756,1265.218
,"Wilcox County, AL",1131,All other non-drug and non-alcohol causes,O,125,10986,1137.812
,"Winston County, AL",1133,Drug-induced causes,D,32,23805,134.426
,"Winston County, AL",1133,All other non-drug and non-alcohol causes,O,324,23805,1361.059
,"Aleutians East Borough, AK",2013,All other non-drug and non-alcohol causes,O,12,3296,Unreliable
,"Aleutians West Census Area, AK",2016,All other non-drug and non-alcohol causes,O,21,5647,371.879
,"Anchorage Borough, AK",2020,Drug-induced causes,D,356,298192,119.386
,"Anchorage Borough, AK",2020,Alcohol-induced causes,A,131,298192,43.931
,"Anchorage Borough, AK",2020,All other non-drug and non-alcohol causes,O,1709,298192,573.121
,"Bethel Census Area, AK",2050,Drug-induced causes,D,26,17968,144.702
,"Bethel Census Area, AK",2050,Alcohol-induced causes,A,13,17968,Unreliable
,"Bethel Census Area, AK",2050,All other non-drug and non-alcohol causes,O,119,17968,662.289
,"Denali Borough, AK",2068,All other non-drug and non-alcohol causes,O,10,1953,Unreliable
,"Dillingham Census Area, AK",2070,Drug-induced causes,D,12,4954,Unreliable
,"Dillingham Census Area, AK",2070,All other non-drug and non-alcohol causes,O,31,4954,625.757
,"Fairbanks North Star Borough, AK",2090,Drug-induced causes,D,68,100605,67.591
,"Fairbanks North Star Borough, AK",2090,Alcohol-induced causes,A,36,100605,35.784
,"Fairbanks North Star Borough, AK",2090,All other non-drug and non-alcohol causes,O,509,100605,505.939
,"Haines Borough, AK",2100,All other non-drug and non-alcohol causes,O,14,2496,Unreliable
,"Hoonah-Angoon Census Area, AK",2105,All other non-drug and non-alcohol causes,O,17,2078,Unreliable
,"Juneau Borough, AK",2110,Drug-induced causes,D,39,32468,120.118
,"Juneau Borough, AK",2110,Alcohol-induced causes,A,17,32468,Unreliable
,"Juneau Borough, AK",2110,All other non-drug and non-alcohol causes,O,202,32468,622.151
,"Kenai Peninsula Borough, AK",2122,Drug-induced causes,D,116,58506,198.27
,"Kenai Peninsula Borough, AK",2122,Alcohol-induced causes,A,33,58506,56.404
,"Kenai Peninsula Borough, AK",2122,All other non-drug and non-alcohol causes,O,473,58506,808.464
,"Ketchikan Gateway Borough, AK",2130,Drug-induced causes,D,18,13746,Unreliable
,"Ketchikan Gateway Borough, AK",2130,Alcohol-induced causes,A,11,13746,Unreliable
,"Ketchikan Gateway Borough, AK",2130,All other non-drug and non-alcohol causes,O,86,13746,625.637
,"Kodiak Island Borough, AK",2150,Drug-induced causes,D,16,13732,Unreliable
,"Kodiak Island Borough, AK",2150,All other non-drug and non-alcohol causes,O,51,13732,371.395
,"Lake and Peninsula Borough, AK",2164,All other non-drug and non-alcohol causes,O,17,1562,Unreliable
,"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,161,104365,154.266
,"Matanuska-Susitna Borough, AK",2170,Alcohol-induced causes,A,30,104365,28.745
,"Matanuska-Susitna Borough, AK",2170,All other non-drug and non-alcohol causes,O,605,104365,579.696
,"Nome Census Area, AK",2180,Drug-induced causes,D,17,9917,Unreliable
,"Nome Census Area, AK",2180,All other non-drug and non-alcohol causes,O,88,9917,887.365
,"North Slope Borough, AK",2185,Drug-induced causes,D,22,9606,229.024
,"North Slope Borough, AK",2185,All other non-drug and non-alcohol causes,O,60,9606,624.61
,"Northwest Arctic Borough, AK",2188,All other non-drug and non-alcohol causes,O,56,7673,729.832
,"Petersburg Borough/Census Area, AK",2195,All other non-drug and non-alcohol causes,O,23,3149,730.391
,"Prince of Wales-Hyder Census Area, AK",2198,Drug-induced causes,D,12,6347,Unreliable
,"Prince of Wales-Hyder Census Area, AK",2198,All other non-drug and non-alcohol causes,O,63,6347,992.595
,"Sitka Borough, AK",2220,Drug-induced causes,D,15,8830,Unreliable
,"Sitka Borough, AK",2220,All other non-drug and non-alcohol causes,O,57,8830,645.527
,"Southeast Fairbanks Census Area, AK",2240,Drug-induced causes,D,10,6876,Unreliable
,"Southeast Fairbanks Census Area, AK",2240,All other non-drug and non-alcohol causes,O,47,6876,683.537
,"Valdez-Cordova Census Area, AK",2261,Drug-induced causes,D,14,9355,Unreliable
,"Valdez-Cordova Census Area, AK",2261,All other non-drug and non-alcohol causes,O,54,9355,577.231
,"Wade Hampton Census Area, AK",2270,All other non-drug and non-alcohol causes,O,54,8049,670.891
,"Wrangell City and Borough, AK",2275,All other non-drug and non-alcohol causes,O,16,2411,Unreliable
,"Yukon-Koyukuk Census Area, AK",2290,Drug-induced causes,D,15,5526,Unreliable
,"Yukon-Koyukuk Census Area, AK",2290,Alcohol-induced causes,A,11,5526,Unreliable
,"Yukon-Koyukuk Census Area, AK",2290,All other non-drug and non-alcohol causes,O,54,5526,977.199
,"Apache County, AZ",4001,Drug-induced causes,D,68,73112,93.008
,"Apache County, AZ",4001,Alcohol-induced causes,A,93,73112,127.202
,"Apache County, AZ",4001,All other non-drug and non-alcohol causes,O,668,73112,913.667
,"Cochise County, AZ",4003,Drug-induced causes,D,239,125770,190.029
,"Cochise County, AZ",4003,Alcohol-induced causes,A,34,125770,27.033
,"Cochise County, AZ",4003,All other non-drug and non-alcohol causes,O,1346,125770,1070.208
,"Coconino County, AZ",4005,Drug-induced causes,D,112,140908,79.484
,"Coconino County, AZ",4005,Alcohol-induced causes,A,96,140908,68.13
,"Coconino County, AZ",4005,All other non-drug and non-alcohol causes,O,836,140908,593.295
,"Gila County, AZ",4007,Drug-induced causes,D,149,53556,278.213
,"Gila County, AZ",4007,Alcohol-induced causes,A,49,53556,91.493
,"Gila County, AZ",4007,All other non-drug and non-alcohol causes,O,827,53556,1544.178
,"Graham County, AZ",4009,Drug-induced causes,D,63,37599,167.558
,"Graham County, AZ",4009,Alcohol-induced causes,A,13,37599,Unreliable
,"Graham County, AZ",4009,All other non-drug and non-alcohol causes,O,277,37599,736.722
,"Greenlee County, AZ",4011,Drug-induced causes,D,14,9613,Unreliable
,"Greenlee County, AZ",4011,All other non-drug and non-alcohol causes,O,51,9613,530.532
,"La Paz County, AZ",4012,Drug-induced causes,D,74,20317,364.227
,"La Paz County, AZ",4012,Alcohol-induced causes,A,17,20317,Unreliable
,"La Paz County, AZ",4012,All other non-drug and non-alcohol causes,O,271,20317,1333.858
,"Maricopa County, AZ",4013,Drug-induced causes,D,4398,4242997,103.653
,"Maricopa County, AZ",4013,Alcohol-induced causes,A,1100,4242997,25.925
,"Maricopa County, AZ",4013,All other non-drug and non-alcohol causes,O,30501,4242997,718.855
,"Mohave County, AZ",4015,Drug-induced causes,D,644,205249,313.765
,"Mohave County, AZ",4015,Alcohol-induced causes,A,104,205249,50.67
,"Mohave County, AZ",4015,All other non-drug and non-alcohol causes,O,3224,205249,1570.775
,"Navajo County, AZ",4017,Drug-induced causes,D,162,110026,147.238
,"Navajo County, AZ",4017,Alcohol-induced causes,A,107,110026,97.25
,"Navajo County, AZ",4017,All other non-drug and non-alcohol causes,O,999,110026,907.967
,"Pima County, AZ",4019,Drug-induced causes,D,1468,1016206,144.459
,"Pima County, AZ",4019,Alcohol-induced causes,A,319,1016206,31.391
,"Pima County, AZ",4019,All other non-drug and non-alcohol causes,O,9450,1016206,929.93
,"Pinal County, AZ",4021,Drug-induced causes,D,594,418540,141.922
,"Pinal County, AZ",4021,Alcohol-induced causes,A,107,418540,25.565
,"Pinal County, AZ",4021,All other non-drug and non-alcohol causes,O,3005,418540,717.972
,"Santa Cruz County, AZ",4023,Drug-induced causes,D,46,45985,100.033
,"Santa Cruz County, AZ",4023,All other non-drug and non-alcohol causes,O,302,45985,656.736
,"Yavapai County, AZ",4025,Drug-induced causes,D,760,225562,336.936
,"Yavapai County, AZ",4025,Alcohol-induced causes,A,107,225562,47.437
,"Yavapai County, AZ",4025,All other non-drug and non-alcohol causes,O,2955,225562,1310.061
,"Yuma County, AZ",4027,Drug-induced causes,D,222,205631,107.96
,"Yuma County, AZ",4027,Alcohol-induced causes,A,49,205631,23.829
,"Yuma County, AZ",4027,All other non-drug and non-alcohol causes,O,1508,205631,733.352
,"Arkansas County, AR",5001,Drug-induced causes,D,27,18214,148.238
,"Arkansas County, AR",5001,All other non-drug and non-alcohol causes,O,250,18214,1372.571
,"Ashley County, AR",5003,Drug-induced causes,D,29,20492,141.519
,"Ashley County, AR",5003,All other non-drug and non-alcohol causes,O,262,20492,1278.548
,"Baxter County, AR",5005,Drug-induced causes,D,91,41062,221.616
,"Baxter County, AR",5005,All other non-drug and non-alcohol causes,O,699,41062,1702.304
,"Benton County, AR",5007,Drug-induced causes,D,177,258291,68.527
,"Benton County, AR",5007,Alcohol-induced causes,A,46,258291,17.809
,"Benton County, AR",5007,All other non-drug and non-alcohol causes,O,1754,258291,679.079
,"Boone County, AR",5009,Drug-induced causes,D,54,37304,144.757
,"Boone County, AR",5009,All other non-drug and non-alcohol causes,O,460,37304,1233.112
,"Bradley County, AR",5011,Drug-induced causes,D,11,10996,Unreliable
,"Bradley County, AR",5011,All other non-drug and non-alcohol causes,O,144,10996,1309.567
,"Calhoun County, AR",5013,All other non-drug and non-alcohol causes,O,70,5144,1360.809
,"Carroll County, AR",5015,Drug-induced causes,D,41,27646,148.304
,"Carroll County, AR",5015,All other non-drug and non-alcohol causes,O,314,27646,1135.788
,"Chicot County, AR",5017,Drug-induced causes,D,16,10945,Unreliable
,"Chicot County, AR",5017,All other non-drug and non-alcohol causes,O,148,10945,1352.216
,"Clark County, AR",5019,Drug-induced causes,D,31,22657,136.823
,"Clark County, AR",5019,All other non-drug and non-alcohol causes,O,260,22657,1147.548
,"Clay County, AR",5021,Drug-induced causes,D,34,14920,227.882
,"Clay County, AR",5021,All other non-drug and non-alcohol causes,O,245,14920,1642.091
,"Cleburne County, AR",5023,Drug-induced causes,D,36,25264,142.495
,"Cleburne County, AR",5023,All other non-drug and non-alcohol causes,O,391,25264,1547.657
,"Cleveland County, AR",5025,All other non-drug and non-alcohol causes,O,120,8241,1456.134
,"Columbia County, AR",5027,Drug-induced causes,D,32,23901,133.886
,"Columbia County, AR",5027,All other non-drug and non-alcohol causes,O,312,23901,1305.385
,"Conway County, AR",5029,Drug-induced causes,D,38,20937,181.497
,"Conway County, AR",5029,All other non-drug and non-alcohol causes,O,273,20937,1303.912
,"Craighead County, AR",5031,Drug-induced causes,D,111,105835,104.88
,"Craighead County, AR",5031,All other non-drug and non-alcohol causes,O,943,105835,891.01
,"Crawford County, AR",5033,Drug-induced causes,D,92,62267,147.751
,"Crawford County, AR",5033,All other non-drug and non-alcohol causes,O,648,62267,1040.68
,"Crittenden County, AR",5035,Drug-induced causes,D,35,49235,71.088
,"Crittenden County, AR",5035,All other non-drug and non-alcohol causes,O,514,49235,1043.973
,"Cross County, AR",5037,Drug-induced causes,D,21,17037,123.261
,"Cross County, AR",5037,All other non-drug and non-alcohol causes,O,244,17037,1432.177
,"Dallas County, AR",5039,Drug-induced causes,D,20,7469,267.773
,"Dallas County, AR",5039,All other non-drug and non-alcohol causes,O,125,7469,1673.584
,"Desha County, AR",5041,Drug-induced causes,D,16,11876,Unreliable
,"Desha County, AR",5041,All other non-drug and non-alcohol causes,O,163,11876,1372.516
,"Drew County, AR",5043,Drug-induced causes,D,29,18651,155.488
,"Drew County, AR",5043,All other non-drug and non-alcohol causes,O,229,18651,1227.816
,"Faulkner County, AR",5045,Drug-induced causes,D,97,122227,79.361
,"Faulkner County, AR",5045,Alcohol-induced causes,A,13,122227,Unreliable
,"Faulkner County, AR",5045,All other non-drug and non-alcohol causes,O,976,122227,798.514
,"Franklin County, AR",5047,Drug-induced causes,D,47,17626,266.652
,"Franklin County, AR",5047,All other non-drug and non-alcohol causes,O,254,17626,1441.053
,"Fulton County, AR",5049,Drug-induced causes,D,40,12123,329.951
,"Fulton County, AR",5049,All other non-drug and non-alcohol causes,O,151,12123,1245.566
,"Garland County, AR",5051,Drug-induced causes,D,259,97477,265.704
,"Garland County, AR",5051,Alcohol-induced causes,A,26,97477,26.673
,"Garland County, AR",5051,All other non-drug and non-alcohol causes,O,1377,97477,1412.641
,"Grant County, AR",5053,Drug-induced causes,D,32,18082,176.972
,"Grant County, AR",5053,All other non-drug and non-alcohol causes,O,221,18082,1222.21
,"Greene County, AR",5055,Drug-induced causes,D,75,44598,168.169
,"Greene County, AR",5055,Alcohol-induced causes,A,11,44598,Unreliable
,"Greene County, AR",5055,All other non-drug and non-alcohol causes,O,490,44598,1098.704
,"Hempstead County, AR",5057,Drug-induced causes,D,30,21974,136.525
,"Hempstead County, AR",5057,All other non-drug and non-alcohol causes,O,226,21974,1028.488
,"Hot Spring County, AR",5059,Drug-induced causes,D,96,33374,287.649
,"Hot Spring County, AR",5059,All other non-drug and non-alcohol causes,O,431,33374,1291.424
,"Howard County, AR",5061,Drug-induced causes,D,20,13377,149.51
,"Howard County, AR",5061,All other non-drug and non-alcohol causes,O,155,13377,1158.705
,"Independence County, AR",5063,Drug-induced causes,D,56,37168,150.667
,"Independence County, AR",5063,All other non-drug and non-alcohol causes,O,434,37168,1167.671
,"Izard County, AR",5065,Drug-induced causes,D,26,13433,193.553
,"Izard County, AR",5065,All other non-drug and non-alcohol causes,O,182,13433,1354.872
,"Jackson County, AR",5067,Drug-induced causes,D,37,17221,214.854
,"Jackson County, AR",5067,All other non-drug and non-alcohol causes,O,238,17221,1382.034
,"Jefferson County, AR",5069,Drug-induced causes,D,88,70016,125.686
,"Jefferson County, AR",5069,Alcohol-induced causes,A,14,70016,Unreliable
,"Jefferson County, AR",5069,All other non-drug and non-alcohol causes,O,858,70016,1225.434
,"Johnson County, AR",5071,Drug-induced causes,D,30,26176,114.609
,"Johnson County, AR",5071,All other non-drug and non-alcohol causes,O,258,26176,985.636
,"Lafayette County, AR",5073,Drug-induced causes,D,11,6847,Unreliable
,"Lafayette County, AR",5073,All other non-drug and non-alcohol causes,O,109,6847,1591.938
,"Lawrence County, AR",5075,Drug-induced causes,D,44,16735,262.922
,"Lawrence County, AR",5075,All other non-drug and non-alcohol causes,O,260,16735,1553.63
,"Lee County, AR",5077,All other non-drug and non-alcohol causes,O,107,9310,1149.302
,"Lincoln County, AR",5079,Drug-induced causes,D,14,13705,Unreliable
,"Lincoln County, AR",5079,All other non-drug and non-alcohol causes,O,142,13705,1036.118
,"Little River County, AR",5081,Drug-induced causes,D,32,12451,257.007
,"Little River County, AR",5081,All other non-drug and non-alcohol causes,O,184,12451,1477.793
,"Logan County, AR",5083,Drug-induced causes,D,46,21792,211.087
,"Logan County, AR",5083,All other non-drug and non-alcohol causes,O,254,21792,1165.565
,"Lonoke County, AR",5085,Drug-induced causes,D,107,72228,148.142
,"Lonoke County, AR",5085,Alcohol-induced causes,A,17,72228,Unreliable
,"Lonoke County, AR",5085,All other non-drug and non-alcohol causes,O,700,72228,969.153
,"Madison County, AR",5087,Drug-induced causes,D,16,16072,Unreliable
,"Madison County, AR",5087,All other non-drug and non-alcohol causes,O,192,16072,1194.624
,"Marion County, AR",5089,Drug-induced causes,D,47,16325,287.902
,"Marion County, AR",5089,All other non-drug and non-alcohol causes,O,258,16325,1580.398
,"Miller County, AR",5091,Drug-induced causes,D,59,43787,134.743
,"Miller County, AR",5091,All other non-drug and non-alcohol causes,O,518,43787,1183
,"Mississippi County, AR",5093,Drug-induced causes,D,70,42835,163.418
,"Mississippi County, AR",5093,All other non-drug and non-alcohol causes,O,514,42835,1199.953
,"Monroe County, AR",5095,Drug-induced causes,D,20,7169,278.979
,"Monroe County, AR",5095,All other non-drug and non-alcohol causes,O,143,7169,1994.699
,"Montgomery County, AR",5097,Drug-induced causes,D,24,8879,270.301
,"Montgomery County, AR",5097,All other non-drug and non-alcohol causes,O,154,8879,1734.43
,"Nevada County, AR",5099,Drug-induced causes,D,15,8398,Unreliable
,"Nevada County, AR",5099,All other non-drug and non-alcohol causes,O,130,8398,1547.988
,"Newton County, AR",5101,Drug-induced causes,D,10,7936,Unreliable
,"Newton County, AR",5101,All other non-drug and non-alcohol causes,O,81,7936,1020.665
,"Ouachita County, AR",5103,Drug-induced causes,D,46,24098,190.887
,"Ouachita County, AR",5103,All other non-drug and non-alcohol causes,O,344,24098,1427.504
,"Perry County, AR",5105,Drug-induced causes,D,20,10132,197.394
,"Perry County, AR",5105,All other non-drug and non-alcohol causes,O,131,10132,1292.933
,"Phillips County, AR",5107,Drug-induced causes,D,42,18975,221.344
,"Phillips County, AR",5107,All other non-drug and non-alcohol causes,O,254,18975,1338.603
,"Pike County, AR",5109,Drug-induced causes,D,24,10832,221.566
,"Pike County, AR",5109,All other non-drug and non-alcohol causes,O,113,10832,1043.205
,"Poinsett County, AR",5111,Drug-induced causes,D,58,24023,241.435
,"Poinsett County, AR",5111,All other non-drug and non-alcohol causes,O,348,24023,1448.612
